Row    Object Name       		 RA     	DEC  
1    2MASX J00015724-1031169  00h01m57.2s -10d31m17s
2    FBQS J0002-0024          00h02m57.2s -00d24m47s
3    2MASS J00173691+1451019  00h17m36.9s +14d51m02s
4    SDSS J001741.84-105613.2 00h17m41.9s -10d56m13s
5    2MASS J00214226-0900441  00h21m42.2s -09d00m45s
6    2MASS J00220095+0006575  00h22m00.9s +00d06m58s
7    SDSS J002401.28+160233.8 00h24m01.3s +16d02m34s
8   *2MASS J00351472+1515040  00h35m14.7s +15d15m04s
9    SDSS J003808.50+001336.5 00h38m08.5s +00d13m37s
10   SDSS J0040-0915          00h40m54.6s -09d15m27s
11  *FBQS J0050-0929          00h50m41.3s -09d29m05s
12   2MASX J00562008-0936298  00h56m20.1s -09d36m30s
13   SDSS J005713.00+004205.9 00h57m13.0s +00d42m06s
14   FBQS J0100-0055          01h00m58.2s -00d55m48s
15   FBQS J0105-0033          01h05m40.7s -00d33m14s
16   2MASS J01145278+1325376  01h14m52.8s +13d25m37s
17   SDSS J012227.38+151023.0 01h22m27.4s +15d10m23s
18   FBQS J0127-0821          01h27m16.3s -08d21m29s
19  *[HB89] 0138-097          01h41m25.8s -09d28m44s
20   2MASS J02010616+0034002  02h01m06.2s +00d34m00s
21   SDSS J022039.66-004048.0 02h20m39.6s -00d40m48s
22   SDSS J022040.94-010410.8 02h20m40.9s -01d04m11s
23   2MASS J02204845-0842506  02h20m48.5s -08d42m50s
24   SDSS J022509.75+001456.0 02h25m09.7s +00d14m56s
25   SDSS J023813.66-092431.4 02h38m13.7s -09d24m31s
26   SDSS J024157.36+000944.0 02h41m57.3s +00d09m44s
27   FBQS J0243+0046          02h43m02.9s +00d46m27s
28   SDSS J024540.77+004747.2 02h45m40.8s +00d47m47s
29   SDSS J024716.82+001638.4 02h47m16.8s +00d16m38s
30   SDSS J025716.22-001433.5 02h57m16.2s -00d14m34s
31   SDSS J025743.72+011144.5 02h57m43.7s +01d11m45s
32   SDSS J030235.77-075026.9 03h02m35.8s -07d50m27s
33  *FBQS J0304-0054          03h04m33.9s -00d54m05s
34   SDSS J031127.78-072736.6 03h11m27.8s -07d27m37s
35  *SDSS J031712.23-075850.3 03h17m12.2s -07d58m50s
36   2MASS J03234362-0111461  03h23m43.6s -01d11m46s
37   2MASX J03521984-0550452  03h52m19.8s -05d50m45s
38   2MASS J07265954+3734232  07h26m59.5s +37d34m23s
39  *2MASS J07334680+4111196  07h33m46.8s +41d11m20s
40   2MASS J07370187+2846460  07h37m01.9s +28d46m46s
41  *2MASS J07405462+3226008  07h40m54.6s +32d26m01s
42   2MASS J07424293+3018364  07h42m42.9s +30d18m36s
43   2MASS J07455918+2226508  07h45m59.2s +22d26m51s
44   SDSS J075331.84+270415.3 07h53m31.8s +27d04m15s
45   2MASX J07543702+3910477  07h54m37.1s +39d10m48s
46   SDSS J075437.84+422115.3 07h54m37.8s +42d21m15s
47  *2MASS J07544566+4823507  07h54m45.7s +48d23m51s
48   SDSS J075551.44+352549.7 07h55m51.4s +35d25m50s
49   SDSS J075602.72+414039.8 07h56m02.7s +41d40m40s
50   SDSS J075936.13+132117.8 07h59m36.1s +13d21m18s
51   2MASS J08001878+1645571  08h00m18.8s +16d45m57s
52   SDSS J080115.01+133642.2 08h01m15.0s +13d36m42s
53   SDSS J080131.15+532900.8 08h01m31.1s +53d29m01s
54   SDSS J080204.81+100637.8 08h02m04.8s +10d06m38s
55   SDSS J080307.30+243750.8 08h03m07.3s +24d37m51s
56   SDSS J080323.01+481618.6 08h03m23.0s +48d16m19s
57   SDSS J080615.30+133019.7 08h06m15.3s +13d30m20s
58   SDSS J080831.59+092304.0 08h08m31.6s +09d23m04s
59   SDSS J080906.87+172955.1 08h09m06.9s +17d29m55s
60   2MASS J08094918+5218583  08h09m49.2s +52d18m58s
61   SDSS J081042.53+325401.4 08h10m42.5s +32d54m01s
62  *SDSS J081058.17+284618.6 08h10m58.2s +28d46m19s
63   SDSS J081226.00+114158.5 08h12m26.0s +11d41m59s
64   SDSS J081231.27+282056.2 08h12m31.3s +28d20m56s
65   SDSS J081250.79+522530.8 08h12m50.8s +52d25m31s
66   2MASS J08125144+5554219  08h12m51.4s +55d54m22s
67   SDSS J081258.40+153152.2 08h12m58.4s +15d31m52s
68   SDSS J081322.91+343758.5 08h13m22.9s +34d37m59s
69   FBQS J081421.2+294021    08h14m21.3s +29d40m21s
70   2MASS J08160957+4910043  08h16m09.6s +49d10m04s
71   2MASS J08164977+2051063  08h16m49.8s +20d51m06s
72   2MASS J08175105+3243400  08h17m51.0s +32d43m41s
