SDSS Name					R.A.	Decl.				
080906.88+172955.2^e	122.27867	17.49867
082638.59+515233.2^e	126.66080	51.87591
083304.74+415331.3^e	128.26976	41.89204
083330.56+233909.2^e	128.37736	23.65256
084249.02+235204.7^e	130.70429	23.86800
084424.24+124546.5^f	131.10102	12.76294
090703.92+410748.3^e	136.76634	41.13009
092312.75+174452.8		140.80314	17.74801	
093437.53+262232.6^f	143.65639	26.37574
101849.78+271914.9		154.70745	27.32081	
102609.92+253651.2		156.54136	25.61425	
111642.81+420324.9^e	169.17840	42.05694
113747.64+391941.5^e,f	174.44852	39.32820
115959.71+410152.9^e	179.99880	41.03137
124745.39+325147.0^f	191.93914	32.86308
132703.26+341321.7^e	201.76360	34.22271
141657.93+123431.6^e	214.24138	12.57546
144803.36+240704.2^f	222.01404	24.11785
213742.25-003912.7^e	324.42605	-0.65355
233939.48-103539.3^e,f	354.91454	-10.5942
